Timepoint	0m	15m	180m	2880m	5760m	15m	180m	2880m	5760m
"AT2G30860.2;AT2G30860.1"	0.420320959	0.391537133	0.440113701	0.406813663	0.530700807	0.591553839	0.463813255	0.531754414	0.717595727
"AT2G38210.1;AT5G01410.1;AT5G01410.2;AT2G38230.1"	0.592661556	0.568700408	0.618261783	0.442281944	0.507160524	0.438220701	0.723342903	0.513600722	0.605839861
"AT4G09010.3;AT4G09010.2;AT4G09010.1"	0.768517629	0.852895366	0.889652564	0.859314862	0.939023006	0.857843011	0.817710434	0.956355857	0.88731904
AT1G53240.1	0.867532071	0.572339854	0.546184017	0.544485982	0.558813514	0.548109643	0.52516897	0.532918072	0.564766967
"AT1G56070.3;AT1G56070.2;AT1G56070.1"	0.591174715	0.669331051	0.644927989	0.557222882	0.533254664	0.517325642	0.527194943	0.562157634	0.525050778
"AT1G29670.1;AT1G29670.2"	0.771063424	0.962480887	0.873702889	0.585976792	0.525884196	0.516465356	0.608082612	0.635004266	0.773682651
"AT4G02530.2;AT4G02530.3;AT4G02530.1"	0.421156649	0.62369885	0.722643263	0.580627881	0.575231938	0.491080746	0.54216541	0.592961214	0.540531335
"AT2G47610.1;AT3G62870.1"	0.62578364	0.707244238	0.745876914	0.573149295	0.501063278	0.499464411	0.510074108	0.530055644	0.537481691
"AT1G34760.1;AT1G34760.2;AT2G42590.2;AT2G42590.1;AT2G42590.3;AT1G26480.1"	0.692493181	0.823618525	0.80329672	0.826745703	1.004005204	1.095212047	0.97969355	1.071152759	1.024406059
AT3G55800.1	0.57824042	0.75557112	0.701364997	0.670585147	0.597347733	0.522528246	0.498959938	0.638485983	0.586197085
"AT1G11860.2;AT1G11860.1;AT1G11860.3"	0.775911275	0.695342335	0.633029422	0.666318633	0.636132046	0.555907797	0.622126275	0.634601042	0.571062171
"AT1G76180.2;AT1G76180.1;AT1G20440.1"	0.526675107	0.72004529	0.608747867	0.736097751	1.034394436	1.081226749	1.067791518	1.032922579	1.207164007
"AT2G13360.3;AT2G13360.1;AT2G13360.2"	0.555288616	0.639093312	0.609648336	0.679813197	0.638437321	0.577583971	0.581935068	0.654544528	0.556949321
AT1G06380.1	1.127939503	1.177813361	1.156128731	1.176360477	1.121160609	1.023894613	1.053331825	1.048341931	1.087381279
ATCG00340.1	1.087652796	1.125504697	1.152369104	1.167313787	1.162832285	1.03110503	1.074493721	1.102973024	1.100095255
"AT1G33140.1;AT4G10450.2;AT4G10450.1;AT1G33120.1"	0.788789822	0.796364805	0.877726609	0.590625313	0.540817127	0.496221868	0.578173337	0.578675068	0.586761918
"AT5G35630.1;AT5G35630.2;AT5G35630.3"	0.922740021	0.735041461	0.671882772	0.755088342	0.755304962	0.688822611	0.719557899	0.730242765	0.609064779
AT4G32260.1	0.974094941	0.826423517	0.80992716	0.714485096	0.70493163	0.700167714	0.668377897	0.714176913	0.674772444
"AT1G48830.1;AT1G48830.2"	0.820370483	0.737505948	0.726329879	0.783663535	0.633786078	0.684725497	0.639480144	0.70798765	0.573240515
AT3G26070.1	0.580773184	0.598019185	0.647178017	0.722416378	0.774345782	0.68218201	0.567509162	0.772829354	0.704615748
AT3G09840.1	0.451262747	0.650859236	0.538883165	0.441169878	0.400768837	0.524065547	0.444650105	0.636053365	0.504490237
AT5G08050.1	0.750913187	0.812948831	0.681742768	0.770908549	0.597007466	0.530496843	0.671307212	0.587849139	0.63953974
AT1G03680.1	0.588204923	0.724263344	0.76201882	0.728210313	0.693368608	0.58806418	0.632325193	0.73852682	0.690538413
AT4G27090.1	0.887929866	0.799491198	0.784585881	0.557878034	0.612888321	0.772331746	0.503489366	0.816824455	0.516553732
"AT4G13940.3;AT4G13940.1;AT4G13940.4;AT4G13940.2;AT3G23810.1"	0.742541899	0.705340666	0.642632879	0.661730983	0.52140578	0.562615847	0.545352609	0.49891442	0.497601094
"AT1G44575.2;AT1G44575.3;AT1G44575.1"	0.530313776	0.603398486	0.56364237	0.678844291	0.688704774	0.659905045	0.617175233	0.77306738	0.663437796
"AT3G19480.1;AT4G34200.1"	0.542655049	0.658009394	0.507174287	0.616562038	0.502100704	0.549489405	0.561186541	0.551945319	0.58694403
"AT5G36790.3;AT5G36790.2;AT5G36790.1;AT5G36700.2;AT5G36700.4;AT5G36700.1"	0.546560894	0.622533755	0.627595145	0.666775317	0.700652614	0.630730076	0.600205117	0.726195471	0.685354631
"AT5G39850.1;AT5G15200.1;AT5G15200.2"	0.702747372	0.703689318	0.689732752	0.538670734	0.6210386	0.582318984	0.476419653	0.588751916	0.593690264
"AT1G22840.1;AT4G10040.1"	0.524428798	0.62286196	0.581181511	0.684025074	0.669626889	0.664886516	0.686357758	0.534904987	0.646379905
"AT5G20950.2;AT5G20950.3;AT5G20950.1"	0.859340753	1.021989345	0.837352355	0.854779014	0.720233983	0.674777715	0.892243629	0.865033381	1.077118891
"AT1G78300.1;AT1G35160.1;AT1G35160.2;AT4G09000.1;AT4G09000.2;AT5G10450.3;AT5G10450.2;AT5G10450.4;AT5G10450.1;AT5G38480.2;AT5G38480.1;AT5G38480.3;AT5G16050.1;AT5G16050.2;AT5G65430.1;AT5G65430.3;AT5G65430.2;AT3G02520.1;AT3G02520.2"	0.850991886	0.943866361	0.916197818	0.921027076	0.957677724	0.92396982	0.92377511	0.884593565	0.924794956
"AT1G15140.1;AT1G15140.2;AT1G15140.3"	0.643265658	0.736461419	0.708473977	0.569268086	0.65537846	0.898357402	0.607952786	0.499738983	0.580153716
AT1G17290.1	0.527016539	0.358986619	0.34308665	0.396710561	0.475320528	0.409122356	0.589525183	0.477572069	0.599468861
AT3G57150.1	0.473786051	0.717613064	0.737083855	0.526023272	0.475419999	0.548682744	0.407286385	0.499141646	0.501916837
"AT4G03520.2;AT4G03520.1"	0.749284004	0.616329934	0.612583615	0.675175721	0.699921734	0.613521536	0.720089363	0.721920141	0.643963154
"AT2G30870.1;AT2G30860.2;AT2G30860.1"	0.327376231	0.483040681	0.468068253	1.447900012	0.615166758	0.595903247	0.59105109	0.653885192	0.90107795
AT3G52960.1	0.586505745	0.742213306	0.70624518	0.738935393	0.733844738	0.68140631	0.669240694	0.763027133	0.706896444
AT5G50920.1	0.573227539	0.643707567	0.66307949	0.473655988	0.475360388	0.485493768	0.426427133	0.6043569	0.551772742
"AT4G35830.1;AT2G05710.1;AT4G26970.1"	0.579107762	0.613008576	0.60320434	0.625290325	0.717751998	0.679267523	0.709372219	0.812399349	0.789153482
"AT1G07920.1;AT1G07940.4;AT1G07940.1;AT1G07940.2;AT1G07940.3;AT5G60390.3;AT5G60390.1;AT5G60390.2;AT1G07930.2;AT1G07930.1"	0.853789085	0.668982602	0.634455873	0.585799515	0.555310775	0.530699196	0.604682514	0.538971422	0.592651535
"AT5G26742.3;AT5G26742.2;AT5G26742.1"	0.516854388	0.503012857	0.476002562	0.279419311	0.208815919	0.278755723	0.216290215	0.378141018	0.252028024
"AT4G33010.2;AT4G33010.1"	0.81646128	0.640133886	0.591994922	0.615981751	0.5793483	0.473457038	0.531229173	0.655520257	0.619427242
"AT5G13490.2;AT5G13490.1;AT3G08580.2;AT3G08580.1"	0.536669792	0.590333096	0.539429281	0.557031455	0.548701872	0.52471386	0.544862436	0.584667017	0.575432091
"AT3G22860.1;AT3G56150.2;AT3G56150.1"	0.798430343	2.972920934	1.023356557	0.681683683	1.542959773	0.964229548	0.678953697	0.683735377	0.966575425
"AT5G41790.1;AT5G41790.2"	2.848761767	0.873487708	1.130445079	0.89829845	1.869575794	1.315612681	0.958587711	1.963183549	1.189807878
"AT3G02560.1;AT3G02560.3;AT3G02560.2"	0.670893724	0.648487027	0.826498019	0.506717477	0.359235858	0.378870413	0.438343608	0.521359665	0.378060344
AT1G20950.1	0.774114405	0.797114716	0.749339076	0.662145066	0.712910968	0.72309543	0.619823033	0.60260706	0.600957022
"AT3G52180.4;AT3G52180.1"	0.260211315	0.307737482	0.233142578	0.272363539	0.240494994	0.350156656	0.69390398	0.41805878	0.316665285
"AT1G07890.5;AT1G07890.3;AT1G07890.1;AT1G07890.7;AT1G07890.4;AT1G07890.6;AT1G07890.8;AT1G07890.2"	0.351762425	0.617646159	0.611201113	0.671921507	0.782800429	0.691265276	0.693826691	0.798019261	0.769084866
"AT3G05590.1;AT3G05590.3;AT3G05590.2;AT5G27850.1;AT5G27850.2"	0.684489935	0.746232723	0.673186544	0.572904938	0.463079357	0.443064662	0.434283608	0.486411522	0.458841532
AT3G44890.1	0.791975564	0.864998697	0.814116163	0.666087571	0.573584048	0.502249033	0.565162001	0.610798677	0.563471442
"AT4G30190.2;AT4G30190.1;AT2G24520.1;AT2G24520.4;AT2G24520.3;AT2G24520.2;AT2G18960.2;AT2G18960.1;AT2G18960.3;AT5G62670.1"	0.944439002	1.437833087	1.336560159	1.324723633	0.896488532	1.210408227	0.987740721	1.459967139	0.739798216
"AT3G46940.1;AT3G46940.2"	0.718607983	0.839109994	0.813197538	0.598151663	0.481757248	0.431286312	0.660443688	0.771501711	0.504112942
ATCG00280.1	0.711028446	1.040235608	0.916355118	0.906892216	0.797980787	0.68324789	0.784794812	0.839929765	0.837346822
AT1G62020.1	1.063370733	0.64141329	0.568965777	0.707502536	0.593587624	0.633860069	0.725777874	0.865535119	0.636153601
"AT1G64200.2;AT1G64200.3;AT1G64200.1;AT4G11150.1"	0.827597008	0.713353578	0.675406497	0.764549093	0.828025127	0.737274731	0.837119979	0.792923374	0.834969449
"AT3G63490.2;AT3G63490.1"	0.785878214	0.802143895	0.862118172	0.666474814	0.58683827	0.549876523	0.610818283	0.85009686	0.61692452
"AT3G02090.2;AT3G02090.1"	0.545980977	0.544664402	0.55188645	0.555357347	0.600337564	0.590317285	0.53165037	0.610642379	0.6303317
AT1G05190.1	0.645697314	0.808635438	0.733277703	0.640973084	0.567661602	0.501247277	0.508868815	0.534287242	0.522243486
AT3G12290.1	0.490850962	0.582680335	0.573379043	0.611600682	0.674848965	0.650077302	0.608881883	0.68787816	0.634422812
"AT1G80380.7;AT1G80380.4;AT1G80380.3;AT1G80380.1;AT1G80380.8;AT1G80380.2"	0.757259086	0.710385768	0.736824188	0.761388305	0.70169427	0.73026501	0.645689211	0.732257496	0.650606325
"AT3G52150.2;AT3G52150.1"	1.144834493	0.694442114	0.71174116	0.511020125	0.502418413	0.456865358	0.496515427	0.551150476	0.517400843
AT1G30380.1	0.462390428	0.762528698	0.748874495	0.989755831	0.746153158	0.706199289	0.758698821	0.737532394	0.731552191
"AT5G26780.3;AT5G26780.2;AT5G26780.4;AT5G26780.1;AT4G37930.1"	0.613239632	0.644832948	0.627438103	0.632447108	0.619651394	0.470604836	0.481687796	0.579624671	0.565634958
"AT3G01480.1;AT3G01480.2"	1.001519357	1.004442845	0.913569441	0.86478586	0.818541896	0.733384653	0.783699737	0.854066636	0.835143968
AT1G08360.1	0.678145124	0.746903464	0.729889506	0.645680138	5.44114026	0.549936111	0.484684984	0.570874075	0.5875279
