Condition	Heat	Heat	Heat	Heat	Heat	Heat	Heat	Heat
State	Acclimation	Acclimation	Acclimation	Acclimation	De-Acclimation	De-Acclimation	De-Acclimation	De-Acclimation
AT3G22230.1	1863005.921	1480213.254	884202.1785	909924.0007	508115.2757	849679.9241	870613.4948	758490.5768
AT3G12260.1	1325413.905	1456730.003	1128400.745	1072836.874	64575999.82	1112073.575	1303556.026	1118823.69
AT1G56110.1	675831.0885	861953.4261	421471.8295	506874.0254	319641.5633	356106.6375	330234.7891	537856.4653
ATCG00380.1	3072673.416	3811831.644	1901281.474	2308973.83	1623534.02	1836213.089	2130293.449	2569332.279
AT1G20200.1	1563991.615	868151.4621	929220.4735	1467738.214	437094.8777	1080698.775	667475.8632	860338.9151
AT1G08520.1	1128844.063	1150343.208	579841.3837	535524.9751	363865.3545	399189.6752	475420.3653	642931.7247
ATCG00020.1	14141683.31	15597994.67	10679683.1	9351128.752	10847417.05	11906059.29	10271846.54	14524252.52
ATCG00770.1	2450511.072	1450769.992	1394749.413	1132661.744	814440.9563	908972.6865	802778.4755	1131307.421
AT4G09320.1	3723666.213	3558372.134	1957719.071	2774398.495	1773659.808	2442467.121	2356020.632	2742997.249
AT5G62670.1	374602.606	531502.9627	389814.377	212040.348	246443.6819	126668.6133	383102.9619	1169992.141
AT1G80600.1	1183731.569	1232393.15	993380.0251	1062777.609	737515.0544	766851.3784	1063501.615	1143037.29
AT5G07030.1	1720417.745	1865972.901	1286674.341	2038213.436	1110832.884	1591857.263	1167663.172	1922720.983
AT1G48920.1	1705417.77	1760996.319	944231.3072	921468.2918	494524.653	938382.6115	945937.8805	1040928.676
AT4G04640.1	6115986.551	9941383.752	7726067.264	10351408.34	3679002.503	7266686.811	5488365.063	8799733.875
AT5G09650.1	2599984.315	2965983.194	1937942.397	2500939.865	1334621.117	1910834.43	1709529.267	2144151.479
AT2G34460.1	922218.5328	958786.6823	914849.6167	1030842.253	743570.7371	734606.3948	882140.8124	1155887.226
AT1G76080.1	1527677.89	1663344.16	1626960.246	1917844.933	1038596.342	1391169.941	1318220.012	1317248.293
AT4G10340.1	10937309.1	10095846.91	8813184.927	7797383.163	7289746.18	8805646.825	7272215.789	7142349.281
AT4G27520.1	1951884.921	3466093.568	1693435.481	2707159.855	1097698.455	1529034.351	1409087.235	2543744.156
AT1G60710.1	639008.6457	661868.4454	490447.8413	786902.3621	426463.3744	571985.1754	664419.9893	896612.6777
AT3G63520.1	729056.5113	875122.8983	483620.3417	802354.662	649689.776	550097.9456	564427.9754	810667.7451
AT2G47610.1	3199342.629	2466789.887	1918559.196	2931418.353	2914383.938	4137055.166	3134301.531	3040923.281
AT3G62530.1	1718339.753	1290463.623	817103.5252	784387.1495	480130.7792	443286.9953	632759.9389	732040.6695
AT3G49910.1	1989419.512	4265038.822	1734133.895	2716850.568	1444294.875	1857978.869	2327537.086	2807694.783
AT5G30510.1	3047397.298	2117337.912	1479137.02	1408024.599	768280.5591	1397346.215	1029019.634	1673004.3
AT2G20360.1	585715.7696	772205.9374	459721.2302	566564.7957	464702.3613	411585.9678	456490.6393	593270.4185
ATCG00470.1	7635237.442	8768118.718	6162343.08	6529707.879	4317019.761	5091117.264	5054701.304	6254944.208
AT3G62870.1	3163228.032	2840504.482	1535753.119	2013964.109	911364.0513	1446659.105	1367420.419	1895810.678
AT5G39320.1	575022.1752	770842.2165	1766493.694	343230.0189	221814.0982	453716.3095	1117334.157	2430707.262
AT3G23400.1	1709684.268	1181931.939	1587573.884	1467501.558	1001900.45	1334691.144	1265247.143	1600503.059
AT5G44340.1	5054723.98	5376651.234	5170964.06	4214612.482	3874394.871	5803732.546	5126559.145	3829331.093
AT3G53990.1	466848.2592	643986.0757	238347.0478	623788.2804	372329.8847	293059.5623	337628.4978	666248.382
AT4G39730.1	1355779.163	1127189.237	1050260.187	2260002.649	939735.2784	1110101.698	1634055.17	1842874.643
AT5G23820.1	8346553.916	9464619.309	4504431.653	7032603.029	3324771.246	5327858.528	3898703.168	6432724.915
AT1G35680.1	3373207.922	3260320.393	2002960.706	2230730.775	1130780.951	1559396.957	1719830.924	2036306.055
AT4G24930.1	1060559.075	1101611.229	765290.1736	900553.6145	570471.533	714067.8276	800508.3374	885286.0591
AT4G11600.1	1208172.159	1384211.388	936545.7499	1554312.868	773519.1912	968237.8979	1036722.075	1855386.625
AT1G01090.1	1232902.798	1857566.339	493148.3545	666037.2686	273909.9711	503373.077	514204.8455	463102.1643
AT3G49120.1	1305714.913	1131978.981	917102.8708	1831225.433	1213764.963	1183026.438	2070633.778	2360149.517
AT1G18540.1	3178846.591	3245481.512	1734137.752	2045992.394	1312506.642	1622921.653	1628395.901	2005323.923
AT1G30580.1	1002564.903	1111328.882	810874.0137	1026380.053	507147.4175	729341.4211	720245.1298	947437.45
AT5G08300.1	1449251.395	901380.6142	1247455.034	901296.432	609438.1095	1052371.421	848322.3227	1126394.254
AT5G12470.1	916510.2279	1682015.643	687862.1755	1238966.592	708201.1297	823293.8156	1088252.348	1516234.775
AT3G45140.1	2626842.807	2261935.791	2119806.463	3250309.856	1921203.231	2718640.645	2662096.578	4740718.045
AT5G35590.1	705563.7165	1446218.236	781373.2746	939246.475	411149.9385	431676.3028	315181.2904	1081942.625
AT4G11010.1	6936821.551	4813525.898	4769943.86	4845217.264	2561643.322	4406407.002	4786181.887	4877570.439
AT5G08280.1	5757097.561	5618608.053	3170074.057	2888632.614	1766387.716	2439375.299	2587886.636	3198858.105
AT2G44650.1	1741159.774	1901102.96	1307851.268	1298584.425	851007.4429	1231277.823	1167942.679	1076225.966
AT1G74470.1	4087079.752	3952223.791	2333510.534	2289568.288	1403673.536	1775683.189	2055169.24	2033180.032
AT5G44130.1	2177182.093	2031098.829	2074758.601	2659946.951	2063547.837	2852603.011	1874879.676	3459288.451
ATCG00750.1	1653497.231	1548909.469	769621.4352	1249757.021	822040.6469	832006.9524	911917.0315	1016608.955
AT4G13930.1	2841046.654	3361728.795	1786248.085	2225072.465	1238722.357	1531586.502	1784730.895	1820593.296
AT3G16530.1	3029678.225	551255.0804	6213042.298	291355.7782	267428.1214	486699.4179	439729.3418	605050.2943
AT5G57655.2	1735386.931	1265006.853	1388081.592	1489092.788	643568.0389	951044.4293	765988.2146	1669005.505
AT5G35790.1	614374.295	937788.2688	395487.3933	619356.0514	436281.5497	467054.7085	538171.1668	2.53E+19
AT4G20850.1	600877.1174	746989.4394	509124.8893	720225.3475	409837.1517	630450.2276	597180.1082	663627.6853
AT4G22670.1	1116581.005	1241300.965	916831.0659	1231675.12	814610.1493	1016870.942	851172.5593	1074305.311
AT5G14320.1	2502325.979	2879383.435	1587406.841	1841712.654	986206.2736	1401542.135	1523710.683	2143853.773
ATCG00570.1	24050944.34	23418462.79	16701166.19	16572876.48	12151697.78	17106433.5	16168802.03	22300933.38
AT3G02730.1	4350519.065	4541320.625	3949730.495	5052671.467	2924147.063	3268053.516	4205725.273	4250858.164
AT5G06140.1	705991.3842	369212.1696	101754.4265	581827.2955	68453.1607	585795.7544	299868.3002	411465.4468
AT3G04840.1	2902740.277	4026501.434	1928154.877	2914970.96	1417688.71	1437689.083	1874308.346	2107220.696
AT2G36145.1	409959.4178	313494.9245	322375.7989	372592.9497	133829.2872	242081.8211	196667.8804	283203.792
AT3G20050.1	700812.7051	705162.4263	525314.0842	572596.2803	390608.1431	431611.6745	517815.5214	708982.4135
AT2G35410.1	1320875.695	1480426.755	1047489.91	1176456.046	690964.9956	839630.9355	853851.8126	1058899.875
AT5G13510.1	2818758.942	3187814.822	1705808.993	2102401.92	1287804.812	1482565.879	1711713.568	1593282.337
AT3G48200.1	291431.4749	3.78E+17	10967021383	1.54E+25	1150842.708	380113.0731	2015671.395	19546.48802
AT3G53870.1	28055531.75	33597921.77	25628046.71	28821717.93	28395835.88	18906923.88	35722813.13	34057548.66
AT1G54010.1	2680341.806	3799734.177	2875424.179	4631758.255	2617296.1	3113288.971	3836107.485	4359795.263
AT2G35490.1	1664444.396	1895461.117	1575665.56	1947591.904	1442094.428	1572797.034	1858051.002	2036321.662
AT5G17310.2	1021481.942	1046726.266	766886.4714	1100506.855	490937.3318	753562.5445	731549.9294	833782.863
AT4G02520.1	815695.9279	1225383.319	599718.7711	2269203.731	1353799.039	1602080.437	1872709.472	3330072.76
AT3G19760.1	1425909.313	818337.7634	1244463.844	1116095.723	381180.5452	964846.5937	493454.9829	455282.6492
AT4G37930.1	5308094.691	5317056.811	3415246.213	4382336.788	2700095.397	3148201.688	3391766.833	4855093.488
AT3G04790.1	4191315.425	4980776.508	2621569.954	3948515.769	1454264.919	2534247.212	2119572.631	3631465.092
ATCG00480.1	21060502	18635834.55	15967241.15	16887887.6	10525923.3	13860751.33	14264269.16	14440294.21
AT3G55360.1	1181094.482	767021.1911	471281.9151	813298.4856	553232.0085	925571.6619	1248060.061	774186.6066
AT2G37660.1	3932057.391	3179698.857	2879395.817	2618613.343	1714559.44	2483065.884	2173814.742	2511241.78
AT3G29320.1	656600.2851	724684.555	490881.9084	520406.0199	395183.1894	472526.7712	458113.7334	435486.6785
AT5G10760.1	62711.29587	19721348761	84024.89207	3634234126	67138.93988	1.52E+24	218989.798	628056.6134
AT1G67090.1	135716184.5	134634871	78284882.54	74844401.59	47353169.53	72999906.76	73574741.28	79003739.56
AT1G10370.1	1723654.096	1295594.647	1145402.185	1274908.521	2.39545E+13	956899.4657	657252.7493	767388.6106
AT1G45145.1	321747.2862	1382973.721	259225.0374	955367.6124	3252980.507	4384156.412	701491.4761	929446.7175
AT3G54400.1	2665396.237	2673570.362	1941371.778	2894407.318	1796880.697	2380825.747	2303578.147	2896102.832
AT1G71695.1	4741792.943	2913757.571	4179864.483	2717689.929	1691015.119	2273550.9	2947191.119	2420068.611
AT3G08940.2	9861083.521	8338679.536	7756209.52	8364987.974	6142419.169	7641802.101	7472057.767	7535172.572
AT5G67050.1	3327079.11	1.92E+23	3034409.466	8122866.225	4073230.579	2509878.679	7628307.644	3976996.376
AT1G17100.1	610613.9586	884006.6356	527485.2518	767717.8771	451721.385	547370.1306	710933.1102	748205.9749
AT5G01530.1	28472664.2	30258970.77	17800822.81	23746227.56	16611606.94	21625836.14	20439677.13	22744985.6
AT4G25370.1	1371505.691	1383577.904	1117004.897	1072180.136	753444.9803	1111076.461	952838.3044	1224672.083
ATCG00820.1	3979108.184	3152718.588	2273901.677	11170837.06	19293490.99	1464265.069	7144100.927	11536757.3
AT2G37220.1	5666719.371	5721395.508	1997553.704	1686784.899	1201432.324	1298438.718	2102551.792	2874476.675
AT1G54780.1	2658751.882	2420600.083	2054792.029	2448217.8	1936959.731	1936813.799	2163502.154	2378379.334
AT2G45770.1	708965.9599	801545.1605	525628.2198	669149.1359	380173.1033	623838.3086	415524.0143	502332.3641
AT4G30010.1	747909.5143	748170.8157	480029.9097	832422.2058	437976.4505	493469.5443	641242.5683	1009295.445
AT4G34350.1	1969861.049	929671.2207	800732.8999	648209.5448	240704.8402	505883.3798	525023.9771	497295.1506
AT1G35720.1	1417970.519	1209621.141	1017305.149	1322279.058	1018577.286	1221141.116	1735139.254	1920936.699
AT5G02240.1	1966747.417	1218160.187	1058023.377	1602811.022	944026.5712	1005575.324	1129138.933	1183524.374
ATCG00490.1	22879463.34	13742081.06	12170025.57	12875460.67	14754040.71	11823219.14	17137680.57	8455637.335
AT3G53020.1	4134835.379	5964442.521	2366095.711	4574112.917	2491787.473	2199410.239	4066690.345	4789431.819
AT5G01590.1	330578.0135	315064.6507	215527.1962	160797.3531	175285.6096	245411.4017	278339.4895	403740.2484
AT2G39080.1	866230.3515	945208.261	1043569.44	1202975.718	56913875074	1028925.068	2.13646E+13	909185.3931
AT4G24280.1	2860197.68	3440310.745	2658724.148	3162511.331	1831409.022	2611200.349	2648224.978	2702635.735
AT1G04040.1	3461727.829	3432595.717	2922187.719	3366450.455	3502408.612	2836883.751	4047934.519	3522860.008
AT3G48000.1	608767.1357	1003660.317	638057.685	1102605.278	697013.3702	713079.3719	919342.2218	965633.4558
AT5G35530.1	5941970.166	3209575.1	4641694.728	4488289.945	3539444.055	3937378.958	3968181.5	4960106.214
AT5G08530.1	927041.894	1047034.47	625001.2541	918895.9061	455360.2612	519802.244	650000.4624	708871.0909
AT1G72150.1	2455565.275	2542095.525	2084864.933	3706390.551	2115169.754	2867264.296	2416064.579	3594190.279
AT4G09650.1	3202701.187	3752025.562	2757128.5	3629103.698	1490746.02	2155545.773	2330324.405	2900459.383
AT2G26900.1	3781029.35	3623786.261	2343999.41	3199658.543	1725160.573	2032304.442	1937135.316	3197178.065
AT5G45680.1	720408.985	795109.9495	570770.2634	926513.6201	820223.1541	548626.6534	1.47356E+11	851936.822
AT5G23740.1	1441194.854	1181166.996	643632.5339	1119500.457	602772.6295	665615.6848	735278.1812	1026857.59
AT5G56350.1	433830.6624	430496.3203	290140.8001	404372.415	277326.876	327674.7147	393977.9962	464026.4003
ATCG00120.1	16231765.81	17629489.35	12703078.74	16945794.1	10816021.26	11901989.35	11166169.71	15204873.73
AT2G23820.2	663434.3431	583332.3456	481368.4892	594435.8344	389189.6265	678125.3675	316973.0144	569722.5255
AT3G55440.1	4165189.415	4390487.602	2615487.188	3354018.945	2404257.661	2333924.072	3498447.793	3455422.303
