ProteinGroup	Bin	TP0HS	TP24HS	TP1R	TP2R	TP4R	TP8R	TP0HSsdev	TP24HSsdev	TP1Rsdev	TP2Rsdev	TP4Rsdev	TP8Rsdev	Anova	HCluster
Cre01.g000350.t1.p1	35.2	-0.527943401	0.441549002	0.404247237	0.30000361	0.18966665	0.241807056	0.13473593	0.24384154	0.201360469	0.157041876	0.351668813	0.23833302	1.5e-09	1360.1359.1357.1350.1347.1339.1310.1249.1132.1094.978.859.34
Cre03.g206600.t1.p1	13.1.4	-0.517404428	-0.319220735	-0.04137432	0.109230877	0.00706666	0.067146239	0.077992474	0.652011894	0.204644522	0.618747844	0.089142314	0.217325685	0.003617689	1360.1359.1357.1354.1353.1328.1322.1278.1214.1028.967.902.35
Cre06.g252300.t1.p1	30.1.02	-2.704429543	-2.244870879	-1.307417716	-0.916694331	-0.734533778	-1.705049378	1.157058364	1.111152254	0.358190207	1.388398704	1.305731397	1.122951307	0.005510567	1360.1359.1357.1354.1353.1348.1300.1276.1196.36
Cre16.g687300.t1.p1	35.2	-0.067271862	0.370708455	0.41520877	0.310650422	0.279961367	0.078332858	0.170410378	0.066687667	0.107058225	0.123330732	0.181247405	0.198907517	9.63e-05	1360.1359.1357.1354.1346.1307.1266.1248.1186.977.895.796.37
Cre10.g433600.t1.p1	25	-0.381764058	-0.445625018	-0.362233061	-0.267757725	-0.303840146	-0.233557295	0.128131942	0.158012095	0.123946379	0.107440799	0.216303081	0.085476311	0.006086972	1360.1359.1357.1354.1353.1328.1322.1252.1221.1077.741.38
Cre16.g654500.t1.p1	29.2.3	-0.057729547	-0.117787463	-0.008825366	0.037288537	0.174697952	0.26437704	0.216958932	0.178322619	0.117814032	0.15317282	0.25912964	0.380066141	0.001489938	1360.1359.1357.1354.1353.1328.1322.1252.1221.1170.972.813.768.39
Cre17.g721300.t1.p1	9.09	-0.34333976	-0.24570077	-0.179544535	-0.285540363	-0.202656015	-0.217261713	0.143777784	0.087590956	0.125779525	0.100092891	0.039503684	0.096779705	0.023420725	1360.1359.1357.1354.1346.1307.1212.1147.1091.854.40
Cre03.g190100.t1.p1	29.2.3	0.000307447	-0.251236006	0.00183036	-0.019324954	0.132500993	0.164866329	0.111713842	0.360047121	0.10284215	0.176992263	0.314039112	0.30103957	0.003227521	1360.1359.1357.1354.1353.1328.1322.1252.1221.1170.950.886.852.41
Cre12.g498600.t1.p1;Cre06.g263450.t1.p1	29.2.4	-0.141659847	0.021019216	0.074502656	0.082946027	0.241341593	0.313976847	0.227071622	0.239276234	0.223639046	0.285220769	0.195135299	0.151575999	2.1e-07	1360.1359.1357.1354.1353.1328.1322.1278.1229.1121.940.893.798.42
Cre03.g182050.t1.p1	11.1.09	-0.617739577	-0.30389632	0.118738321	0.027411543	0.137192773	0.138849312	0.354612373	0.930017887	0.087345875	0.29628254	0.204593841	0.183237042	0.013907079	1360.1359.1357.1354.1353.1328.1322.1278.1214.1028.43
Cre14.g621450.t1.p1	29.2.1.2.2.05	0.05872533	-0.329991359	-0.271288186	-0.228041323	-0.100254486	0.02486084	0.259025789	0.224883277	0.188274531	0.231258447	0.198364214	0.307239606	1.93e-05	1360.1358.1356.1336.1330.1325.1285.1237.1157.1100.828.794.44
Cre13.g567600.t1.p1	9.7	-0.182974033	-0.192448564	-0.252183447	-0.403592918	-0.146798482	-0.30939297	0.066633931	0.126179673	0.042511156	0.072346592	0.057757373	0.107929079	3.11e-07	1360.1358.1356.1336.1262.1189.1143.876.45
Cre29.g778250.t1.p1	31.6.1.10	-2.031273158	-1.452332996	-1.245697557	1.236395918	0.229379247	-3.390080399	1.018290318	0.919193778	0.907646726	nan	2.130279554	1.010908392	0.004437828	1360.1358.1355.1352.1334.1320.46
Cre10.g427250.t1.p1	31.1	-0.168574938	-0.05104888	0.013223928	0.165382373	0.215251275	0.180772308	0.236650647	0.150936589	0.080400575	0.060822071	0.107434179	0.149375435	1e-06	1360.1359.1357.1354.1353.1328.1263.1213.1098.1079.974.767.47
Cre17.g709050.t1.p1;Cre13.g569950.t1.p1;Cre02.g104800.t1.p1;Cre06.g268350.t1.p1;Cre16.g648500.t1.p1;Cre17.g710550.t1.p1;Cre17.g714650.t1.p1;Cre06.g265000.t1.p1;Cre17.g708150.t1.p1;Cre06.g275750.t1.p1;Cre12.g504800.t1.p1;Cre06.g276850.t1.p1;Cre06.g274050.t1.p1;Cre12.g506500.t1.p1;Cre16.g650300.t1.p1;Cre06.g265500.t1.p1;Cre16.g661450.t1.p1;Cre06.g274850.t1.p1;Cre17.g713950.t1.p1;Cre06.g276600.t1.p1;Cre06.g265250.t1.p1;Cre16.g649900.t1.p1;Cre17.g713550.t1.p1;Cre06.g271250.t1.p1;Cre12.g504650.t1.p1;Cre17.g711850.t1.p1;Cre06.g266650.t1.p1;Cre06.g274350.t1.p1;Cre06.g267950.t1.p1;Cre17.g708700.t1.p1;Cre12.g505500.t1.p1;Cre06.g264650.t1.p1;Cre06.g274000.t1.p1;Cre12.g506300.t1.p1	28.1.3	0.246997805	-0.047114226	-0.075782621	-0.002655023	0.022451385	-0.057161631	0.139105218	0.12383336	0.126079208	0.194747837	0.143496735	0.261046421	0.041333502	1360.1358.1356.1336.1262.1189.1143.1002.884.772.48
Cre03.g203850.t1.p1	23.4.01	-0.463094054	-0.35465737	-0.340570242	-0.258564963	-0.212464364	-0.179060187	0.115733826	0.122258365	0.104282504	0.144971203	0.063307231	0.310501655	0.007130557	1360.1359.1357.1354.1353.1328.1322.1252.1221.1077.959.795.764.730.686.49
Cre03.g203850.t1.p1	14.01	-0.463094054	-0.35465737	-0.340570242	-0.258564963	-0.212464364	-0.179060187	0.115733826	0.122258365	0.104282504	0.144971203	0.063307231	0.310501655	0.007130557	1360.1359.1357.1354.1353.1328.1322.1252.1221.1077.959.795.764.730.686.49
Cre08.g378500.t1.p1	35.2	0.02735956	-0.265669845	-0.295560001	-0.274341535	-0.303313781	0.141555434	0.133983283	0.089477584	0.089547813	0.125090464	0.39982329	0.209374341	0.000141658	1360.1358.1356.1336.1330.1325.1285.1237.1185.1149.1012.1001.50
Cre12.g504550.t1.p1;Cre12.g504700.t1.p1;Cre12.g506200.t1.p1;Cre12.g505600.t1.p1	28.1.3	0.185057287	-0.204342857	-0.15487607	-0.16654448	-0.248772516	-0.05415369	0.623633081	0.188739452	0.145937489	0.141997253	0.120313394	0.169371253	0.000627732	1360.1358.1356.1336.1330.1325.1297.1258.1240.1193.1037.761.51
Cre09.g416700.t1.p1	35.2	0.228362569	0.720306321	0.860707442	-0.333587525	0.811333926	0.527002101	0.088164676	0.088906982	0.141814566	1.722409856	0.060729881	0.17192184	0.043204382	1360.1359.1357.1354.1346.1335.1329.1304.1270.52
Cre15.g639150.t1.p1	30.3	-1.308479475	-0.538199978	-0.580725576	-0.586790123	-0.461265565	-0.448452357	0.871525493	0.238535143	0.24217516	0.095503914	0.063990283	0.277558947	0.000469561	1360.1359.1357.1350.1347.1339.1299.1259.1200.1088.926.53
Cre03.g206700.t1.p1	35.2	2.314605153	-0.428394571	0.442118453	1.87992454	-0.571055675	0.354332023	1.109660787	1.180099881	nan	1.501624017	0.309058108	0.667671488	0.012055049	1360.1359.1357.1354.1353.1348.1343.1316.54
Cre28.g776100.t1.p1	23.1.1.01	-0.632128738	-1.192089461	-0.991954316	-1.070829984	-0.824294766	-0.698943207	0.313881959	0.290198188	0.16962652	0.257611925	0.200187108	0.072406439	1.48e-09	1360.1358.1356.1336.1330.1325.1285.1237.1157.1100.968.800.55
Cre12.g494750.t1.p1	29.2.1.1.1.1.020	-0.165881802	-0.293061984	-0.444403825	-0.280208845	-0.263146149	-0.0311185	0.274472657	0.133079119	0.327542509	0.305076017	0.099295502	0.160466859	0.002534398	1360.1358.1356.1351.1315.1282.1191.1038.992.836.56
Cre12.g530650.t1.p1;Cre12.g530600.t1.p1	12.2.02	-0.65100314	0.181036892	-0.005361502	-0.17261754	0.007800216	0.028937609	0.172400363	0.117364564	0.104681048	0.115267235	0.122203556	0.1437709	3.4e-12	1360.1359.1357.1350.1347.1339.1299.1259.1200.1164.1117.1018.57
Cre03.g180750.t1.p1	13.1.3.4	-0.165527813	-1.953935746	-1.768457038	-1.394442592	-1.00479009	-0.268215401	0.51599944	0.338710104	0.307050016	0.317353476	0.354419563	0.384162367	0.0	1360.1358.1355.1349.1341.1298.1225.1178.58
Cre17.g737250.t1.p1	29.2.4	0.830070533	-0.861374409	-0.655983535	0.151176976	-0.03492539	-1.142335552	1.398710241	0.902588351	0.510169709	0.243918394	0.630815869	0.557310045	0.001962096	1360.1358.1355.1352.1345.1340.1308.1287.1224.59
Cre03.g190950.t1.p1;Cre04.g216850.t1.p1	31.1	0.139503016	-0.280527219	-0.249350339	-0.231047564	-0.262593915	0.027786299	0.183757718	0.216750854	0.241215819	0.181755767	0.098789262	0.074975997	8.79e-13	1360.1358.1356.1336.1330.1325.1285.1237.1185.1149.1012.1001.781.753.60
Cre01.g043450.t1.p1	35.2	0.203579095	0.455110481	0.545128617	0.481367983	0.575101268	0.259026388	0.294486278	0.240068854	0.242263465	0.237608949	0.265918594	0.230610444	0.048137753	1360.1359.1357.1354.1346.1307.1266.1248.1179.1119.993.797.61
Cre16.g688550.t1.p1	21.2.2	-0.98738353	0.131917315	0.192892627	0.452312699	0.170392334	-0.249818532	0.561166277	0.366723231	0.493042325	0.266643985	0.486224469	0.337242224	4.8e-06	1360.1359.1357.1350.1347.1339.1310.1271.1251.1203.1053.62
Cre13.g568650.t1.p1	29.2.1.2.1.053	-0.057200982	-0.281923902	-0.244687882	-0.240980791	-0.143903445	0.093269429	0.163098453	0.124029544	0.077157443	0.133963642	0.106103865	0.131707663	1.44e-15	1360.1358.1356.1351.1315.1282.1191.1072.1034.762.744.693.63
Cre01.g006950.t1.p1	1.3.06	-0.621135561	-0.007317164	0.034169799	-0.134245669	-0.2154113	-0.19895173	0.144329068	0.117827764	0.116782189	0.100956953	0.067130501	0.068198449	0.0	1360.1359.1357.1350.1306.1296.1286.1253.1239.1136.1087.945.851.64
Cre01.g006950.t1.p1	4.1.010	-0.621135561	-0.007317164	0.034169799	-0.134245669	-0.2154113	-0.19895173	0.144329068	0.117827764	0.116782189	0.100956953	0.067130501	0.068198449	0.0	1360.1359.1357.1350.1306.1296.1286.1253.1239.1136.1087.945.851.64
Cre14.g621650.t1.p1	11.1.02	-0.537241167	0.277031672	0.282815701	0.262874167	0.210219941	0.085578795	0.547919047	0.257615928	0.270153922	0.214727339	0.178744875	0.187106232	7.4e-10	1360.1359.1357.1350.1347.1339.1310.1249.1132.1094.867.717.65
Cre06.g258800.t1.p1	10.5.2	-0.705259439	-1.351248583	-1.112681892	-1.314623646	-0.742253761	-0.109232036	0.593668688	0.789144555	0.307102464	0.37397192	0.481351318	0.903706811	4.33e-05	1360.1358.1356.1351.1338.1324.1292.1254.1030.66
Cre02.g139650.t1.p1	21.2.1	-0.902732541	-1.313273202	-1.643964583	-1.086117471	-1.143322366	-0.91096048	0.331813593	0.798454839	0.505844003	0.543668276	0.260711119	0.129432312	0.030787365	1360.1358.1356.1351.1338.1324.1257.1217.1173.1126.67
